t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,workers
110792.0427,1788877093.2323,6,443.61,393.14,836.75,101.2,15325.1,40717.1,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110792.1514,1788877093.3410,6,443.61,393.14,836.75,99.2,15325.1,40717.1,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110792.2624,1788877093.4520,6,443.61,393.14,836.75,101.1,15325.1,40717.1,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110792.3711,1788877093.5607,6,444.86,393.14,838.00,101.0,15326.8,40715.4,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110792.4800,1788877093.6696,6,445.86,393.14,839.00,98.6,15324.0,40718.2,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110792.5918,1788877093.7813,6,446.23,393.14,839.37,98.6,15323.9,40718.4,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110792.7033,1788877093.8928,6,446.61,393.14,839.75,117.4,15324.1,40718.1,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110792.8139,1788877094.0034,6,447.11,393.14,840.25,99.4,15324.6,40717.7,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110792.9245,1788877094.1140,6,447.61,393.14,840.75,100.1,15322.2,40720.0,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110793.0343,1788877094.2239,6,504.12,393.14,897.25,145.6,15370.5,40671.7,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110793.1442,1788877094.3338,6,479.68,422.39,902.07,173.0,15367.2,40675.0,2373.0,3183768:13;3183852:101;3183853:103;3183854:103;3183855:103
110793.2541,1788877094.4437,6,479.68,562.37,1042.05,402.0,15411.0,40631.2,2373.0,3183768:13;3183852:138;3183853:137;3183854:138;3183855:137
110793.3635,1788877094.5531,6,480.06,617.37,1097.43,306.4,15425.0,40617.2,2373.0,3183768:13;3183852:151;3183853:151;3183854:152;3183855:150
110793.4745,1788877094.6640,6,480.06,630.74,1110.80,46.0,15425.6,40616.6,2373.0,3183768:13;3183852:154;3183853:155;3183854:155;3183855:154
110793.5834,1788877094.7729,6,480.06,630.74,1110.80,0.0,15425.8,40616.4,2373.0,3183768:13;3183852:154;3183853:155;3183854:155;3183855:154
110793.6928,1788877094.8824,6,480.06,717.67,1197.73,348.2,15570.8,40471.4,2373.0,3183768:13;3183852:180;3183853:172;3183854:176;3183855:178
110793.8114,1788877095.0009,6,480.06,772.89,1252.95,1081.1,15624.2,40418.0,2373.0,3183768:13;3183852:195;3183853:193;3183854:186;3183855:186
110793.9273,1788877095.1168,6,480.06,721.35,1201.41,512.9,15615.5,40426.7,2373.0,3183768:13;3183852:179;3183853:175;3183854:178;3183855:176
110794.0403,1788877095.2298,6,480.06,721.47,1201.53,0.0,15615.5,40426.7,2373.0,3183768:13;3183852:179;3183853:175;3183854:178;3183855:176
110794.1526,1788877095.3422,6,480.06,724.81,1204.87,89.7,15615.5,40426.7,2373.0,3183768:13;3183852:180;3183853:177;3183854:178;3183855:177
110794.2642,1788877095.4538,6,480.06,726.99,1207.05,54.8,15615.5,40426.7,2373.0,3183768:13;3183852:180;3183853:177;3183854:179;3183855:178
110794.3736,1788877095.5632,6,480.06,729.48,1209.54,100.5,15615.7,40426.6,2373.0,3183768:13;3183852:181;3183853:178;3183854:180;3183855:179
110794.4832,1788877095.6727,6,480.06,730.46,1210.52,27.6,15615.6,40426.6,2373.0,3183768:13;3183852:181;3183853:178;3183854:180;3183855:179
110794.5922,1788877095.7817,6,480.06,731.91,1211.97,81.8,15618.0,40424.2,2373.0,3183768:13;3183852:181;3183853:178;3183854:180;3183855:179
110794.7023,1788877095.8918,6,480.06,732.65,1212.71,27.3,15524.2,40518.0,2373.0,3183768:13;3183852:182;3183853:178;3183854:180;3183855:180
110794.8121,1788877096.0016,6,480.06,734.88,1214.94,100.2,15524.2,40518.0,2373.0,3183768:13;3183852:182;3183853:179;3183854:180;3183855:180
110794.9218,1788877096.1113,6,480.06,735.61,1215.67,18.2,15524.2,40518.0,2373.0,3183768:13;3183852:182;3183853:179;3183854:180;3183855:181
110795.0315,1788877096.2210,6,480.06,736.89,1216.95,73.0,15524.2,40518.1,2373.0,3183768:13;3183852:182;3183853:180;3183854:180;3183855:181
110795.1412,1788877096.3308,6,480.06,737.35,1217.41,9.1,15524.2,40518.1,2373.0,3183768:13;3183852:183;3183853:180;3183854:181;3183855:181
110795.2508,1788877096.4404,6,480.06,739.63,1219.69,127.8,15522.6,40519.7,2373.0,3183768:13;3183852:183;3183853:180;3183854:181;3183855:182
110795.3603,1788877096.5499,6,480.06,741.04,1221.10,36.3,15522.6,40519.7,2373.0,3183768:13;3183852:183;3183853:180;3183854:182;3183855:182
110795.4705,1788877096.6601,6,480.06,741.85,1221.91,18.4,15522.6,40519.7,2373.0,3183768:13;3183852:184;3183853:181;3183854:182;3183855:183
110795.5792,1788877096.7688,6,480.06,742.35,1222.41,18.4,15522.5,40519.7,2373.0,3183768:13;3183852:184;3183853:181;3183854:183;3183855:183
110795.6878,1788877096.8774,6,480.06,743.82,1223.88,45.7,15522.5,40519.7,2373.0,3183768:13;3183852:183;3183853:181;3183854:184;3183855:183
110795.7972,1788877096.9867,6,480.06,744.00,1224.05,18.0,15519.9,40522.3,2373.0,3183768:13;3183852:183;3183853:181;3183854:184;3183855:183
110795.9080,1788877097.0976,6,480.06,745.14,1225.20,128.6,15508.4,40533.9,2373.0,3183768:13;3183852:184;3183853:180;3183854:184;3183855:184
110796.0170,1788877097.2066,6,480.06,745.51,1225.57,36.4,15508.3,40533.9,2373.0,3183768:13;3183852:184;3183853:180;3183854:184;3183855:184
110796.1270,1788877097.3166,6,480.06,748.66,1228.71,108.7,15508.0,40534.2,2373.0,3183768:13;3183852:184;3183853:181;3183854:186;3183855:185
110796.2376,1788877097.4271,6,480.06,751.70,1231.76,71.4,15508.2,40534.0,2373.0,3183768:13;3183852:185;3183853:181;3183854:187;3183855:186
110796.3495,1788877097.5390,6,480.06,753.59,1233.64,137.0,15508.2,40534.0,2373.0,3183768:13;3183852:186;3183853:182;3183854:186;3183855:186
110796.4590,1788877097.6486,6,480.06,754.67,1234.73,73.6,15509.7,40532.6,2373.0,3183768:13;3183852:187;3183853:182;3183854:186;3183855:186
110796.5680,1788877097.7575,6,480.06,757.56,1237.62,110.3,15509.9,40532.4,2373.0,3183768:13;3183852:188;3183853:183;3183854:187;3183855:187
110796.6768,1788877097.8663,6,480.06,758.31,1238.37,36.3,15481.6,40560.6,2373.0,3183768:13;3183852:189;3183853:183;3183854:187;3183855:187
110796.7871,1788877097.9766,6,480.06,762.09,1242.15,229.1,15473.2,40569.1,2373.0,3183768:13;3183852:190;3183853:183;3183854:189;3183855:187
110796.8962,1788877098.0858,6,480.06,763.26,1243.32,44.5,15466.7,40575.5,2373.0,3183768:13;3183852:191;3183853:184;3183854:189;3183855:187
110797.0084,1788877098.1979,6,480.06,764.73,1244.79,36.3,15466.1,40576.1,2373.0,3183768:13;3183852:191;3183853:184;3183854:189;3183855:188
110797.1188,1788877098.3083,6,480.06,764.66,1244.72,0.0,15466.2,40576.0,2373.0,3183768:13;3183852:191;3183853:184;3183854:189;3183855:188
110797.2285,1788877098.4180,6,480.06,766.43,1246.49,126.6,15466.8,40575.4,2373.0,3183768:13;3183852:191;3183853:184;3183854:189;3183855:188
110797.3390,1788877098.5286,6,480.06,767.68,1247.73,45.8,15466.6,40575.6,2373.0,3183768:13;3183852:191;3183853:185;3183854:190;3183855:189
110797.4482,1788877098.6378,6,480.06,769.91,1249.96,110.5,15467.0,40575.2,2373.0,3183768:13;3183852:191;3183853:186;3183854:191;3183855:189
110797.5568,1788877098.7463,6,480.06,770.85,1250.91,54.1,15467.3,40575.0,2373.0,3183768:13;3183852:192;3183853:186;3183854:192;3183855:189
110797.6677,1788877098.8572,6,480.06,773.00,1253.06,163.2,15464.1,40578.1,2373.0,3183768:13;3183852:191;3183853:186;3183854:192;3183855:192
110797.7781,1788877098.9676,6,480.06,773.72,1253.78,27.4,15464.6,40577.6,2373.0,3183768:13;3183852:191;3183853:186;3183854:192;3183855:192
110797.8875,1788877099.0770,6,480.06,777.25,1257.31,109.1,15460.7,40581.5,2373.0,3183768:13;3183852:191;3183853:186;3183854:194;3183855:193
